name,mnth,cnt
User Clicks,2021-08,86958
Client/InitStateSetupWPM1.3,2021-08,626
Client/SetVersionMessageWPM1.3,2021-08,648
Client/WriteOpportunityDetailsWPM1.3,2021-08,22
Client/Init/WPM1.3,2021-08,290
SearchEntity: opportunity-search,2021-08,896
WebApi/UnLock/CONSMPTN,2021-08,293
GetworkloadmetadatalistTime,2021-08,15788
Client/WriteOpportunityDetailsD365,2021-08,99
Client/InitStateSetupD365,2021-08,2600
Client/SetVersionMessageD365,2021-08,2899
Client/Init/D365,2021-08,950
WebApi/AutoLock/D365,2021-08,356
GetWorkloadSIAQuestionnaireData,2021-08,2423
WebApi/Init/D365,2021-08,1044
WebApi/Refresh/D365,2021-08,1177
Client/Refresh/D365,2021-08,807
Client/RefreshVersionCommentsD365,2021-08,803
Client/Save/D365,2021-08,1745
Client/InitStateSetupMWSC-LED,2021-08,273
Client/SetVersionMessageMWSC-LED,2021-08,297
Client/WriteOpportunityDetailsMWSC-LED,2021-08,27
Client/Init/MWSC-LED,2021-08,125
WebApi/Init/MWSC-LED,2021-08,138
WebApi/GetOpportunityWorkloadDashboardData,2021-08,5093
WebApi/ListSavedQuery,2021-08,13593
CONSMPTN-UserActions,2021-08,50
Client/Save/CONSMPTN,2021-08,459
Client/InitStateSetupCONSMPTN,2021-08,1570
Client/SetVersionMessageCONSMPTN,2021-08,1083
WebApi/Save/CONSMPTN,2021-08,480
WebApi/Init/WPM1.3,2021-08,354
Client/Init/CONSMPTN,2021-08,664
WebApi/AutoLock/CONSMPTN,2021-08,327
WebApi/Refresh/CONSMPTN,2021-08,469
WebApi/Init/CONSMPTN,2021-08,686
Client/Unlock/CAD,2021-08,271
Client/InitStateSetupCAD,2021-08,3238
WebApi/UnLock/CAD,2021-08,373
Client/PublishToCompassOneCONSMPTN,2021-08,247
Client/Unlock/CONSMPTN,2021-08,221
Client/Estimate/D365,2021-08,1196
WebApi/Save/D365,2021-08,1081
WebApi/Estimate/D365,2021-08,1235
Client/Unlock/D365,2021-08,183
WebApi/UnLock/D365,2021-08,251
Client/Save/CAD,2021-08,2064
WebApi/Refresh/WPM1.3,2021-08,392
Client/RefreshVersionCommentsCONSMPTN,2021-08,367
Client/Refresh/CONSMPTN,2021-08,367
WebApi/Lock/CONSMPTN,2021-08,56
Client/Lock/CONSMPTN,2021-08,55
Client/SetVersionMessageCAD,2021-08,3682
Client/Estimate/CAD,2021-08,1475
WebApi/Save/CAD,2021-08,1286
WebApi/Estimate/CAD,2021-08,1500
Client/Unlock/WPM1.3,2021-08,73
Click,2021-08,418
SearchAction: undefined,2021-08,102
WebApi/ExecuteSaveQuery,2021-08,223
WebApi/UnLock/WPM1.3,2021-08,105
WebApi/AutoLock/WPM1.3,2021-08,150
Client/Refresh/WPM1.3,2021-08,272
Client/RefreshVersionCommentsWPM1.3,2021-08,272
Client/GetOpportunityDataWPM1.3,2021-08,189
Client/SetVersionMessageAMO2104,2021-08,306
Client/InitStateSetupAMO2104,2021-08,244
Client/Save/AMO2104,2021-08,107
Client/Estimate/AMO2104,2021-08,97
WebApi/Save/AMO2104,2021-08,98
WebApi/UnLock/AMO2104,2021-08,36
WebApi/Estimate/AMO2104,2021-08,98
Client/Unlock/AMO2104,2021-08,28
Client/InitStateSetupMWSCE,2021-08,132
Client/Init/MWSCE,2021-08,71
WebApi/Refresh/MWSCE,2021-08,72
WebApi/Init/MWSCE,2021-08,85
Client/RefreshVersionCommentsMWSCE,2021-08,50
Client/Refresh/MWSCE,2021-08,50
Client/GetOpportunityDataD365,2021-08,434
Client/Lock/D365,2021-08,69
WebApi/Lock/D365,2021-08,68
WebApi/AutoLock/MWSCE,2021-08,45
MSXNotFound,2021-08,916
SearchEntity: consumption-savedsearch-index,2021-08,81
Client/WriteOpportunityDetailsMWSCE,2021-08,9
Client/SetVersionMessageMWSCE,2021-08,126
Client/WriteOpportunityDetailsMADMW1.3,2021-08,18
Client/InitStateSetupMADMW1.3,2021-08,184
Client/SetVersionMessageMADMW1.3,2021-08,181
Client/Init/MADMW1.3,2021-08,108
Client/WriteOpportunityDetailsCONSMPTN,2021-08,205
WebApi/AutoLock/MADMW1.3,2021-08,29
WebApi/Init/MADMW1.3,2021-08,119
CAD-UserActions,2021-08,554
WebApi/Init/CAD,2021-08,1369
Client/Init/CAD,2021-08,1197
WebApi/Refresh/CAD,2021-08,1600
Client/Refresh/CAD,2021-08,1164
Client/GetOpportunityDataCAD,2021-08,698
Client/RefreshVersionCommentsCAD,2021-08,1164
Client/GetOpportunityDataCONSMPTN,2021-08,155
WebApi/AutoLock/CAD,2021-08,456
Client/PublishToCompassOneD365,2021-08,157
Client/DownloadTemplateD365,2021-08,38
Client/UpgradeVersionD365,2021-08,35
Client/WriteOpportunityDetailsCAD,2021-08,103
WebApi/Refresh/AMO2104,2021-08,158
WebApi/Init/AMO2104,2021-08,108
Client/PublishToCompassOneCAD,2021-08,238
Client/PublishToCompassOneAMO2104,2021-08,55
Client/RefreshVersionCommentsAMO2104,2021-08,100
Client/Init/AMO2104,2021-08,102
Client/Refresh/AMO2104,2021-08,100
Client/GetOpportunityDataAMO2104,2021-08,85
Client/Init/ADH2.0,2021-08,11
Client/SetVersionMessageADH2.0,2021-08,26
Client/InitStateSetupADH2.0,2021-08,23
Client/Refresh/ADH2.0,2021-08,10
Client/GetOpportunityDataADH2.0,2021-08,9
Client/RefreshVersionCommentsADH2.0,2021-08,10
WebApi/Refresh/ADH2.0,2021-08,14
WebApi/Init/ADH2.0,2021-08,10
Client/Save/ADH2.0,2021-08,8
Client/Estimate/ADH2.0,2021-08,7
WebApi/Estimate/ADH2.0,2021-08,7
WebApi/Save/ADH2.0,2021-08,7
WebApi/Estimate/O365,2021-08,146
Client/SavingD365,2021-08,253
User Clicked on Do Not Have MsxId,2021-08,38
Client/RefreshVersionCommentsMADMW1.3,2021-08,63
Client/GetOpportunityDataMADMW1.3,2021-08,45
Client/Refresh/MADMW1.3,2021-08,63
WebApi/Refresh/MADMW1.3,2021-08,101
WebApi/AutoLock/AMO2104,2021-08,48
WebApi/UnLock/MADMW1.3,2021-08,15
Client/UnPublishFromCompassOneCONSMPTN,2021-08,15
Client/ForceReleaseCheckOutD365,2021-08,19
Client/WriteOpportunityDetailsADH2.0,2021-08,1
WebApi/CreateVersion/Microsoft.OneEstimator.Services.Entities.AppInsightData,2021-08,24
Client/PublishToCompassOneWPM1.3,2021-08,103
Client/Save/WPM1.3,2021-08,290
Client/Estimate/WPM1.3,2021-08,174
WebApi/Estimate/WPM1.3,2021-08,175
WebApi/Save/WPM1.3,2021-08,179
Client/Lock/AMO2104,2021-08,9
WebApi/Lock/AMO2104,2021-08,9
Client/UnPublishFromCompassOneAMO2104,2021-08,17
WebApi/AutoLock/CLOUDMO6.2,2021-08,1
WebApi/Init/CLOUDMO6.2,2021-08,6
WebApi/Refresh/CLOUDMO6.2,2021-08,7
WebApi/Estimate/CLOUDMO6.2,2021-08,3
Client/SetVersionMessageCLOUDMO6.2,2021-08,10
Client/InitStateSetupCLOUDMO6.2,2021-08,16
Client/Save/CLOUDMO6.2,2021-08,3
Client/Estimate/CLOUDMO6.2,2021-08,3
WebApi/Save/CLOUDMO6.2,2021-08,3
WebApi/UnLock/CLOUDMO6.2,2021-08,2
Client/Unlock/CLOUDMO6.2,2021-08,2
Client/Init/CLOUDMO6.2,2021-08,5
Client/Refresh/CLOUDMO6.2,2021-08,7
Client/RefreshVersionCommentsCLOUDMO6.2,2021-08,7
Client/GetOpportunityDataCLOUDMO6.2,2021-08,1
WebApi/UnLock/MADMW1.2,2021-08,4
Client/InitStateSetupAzCF2009,2021-08,224
Client/Init/AzCF2009,2021-08,90
WebApi/Init/AzCF2009,2021-08,116
WebApi/Refresh/AzCF2009,2021-08,124
Client/RefreshVersionCommentsAzCF2009,2021-08,86
Client/Refresh/AzCF2009,2021-08,86
WebApi/Refresh/MWSC-LED,2021-08,120
Client/Refresh/MWSC-LED,2021-08,88
Client/GetOpportunityDataMWSC-LED,2021-08,62
Client/RefreshVersionCommentsMWSC-LED,2021-08,88
Client/Unlock/MWSC-LED,2021-08,16
WebApi/UnLock/MWSC-LED,2021-08,21
WebApi/Save/MWSC-LED,2021-08,94
WebApi/Estimate/MWSC-LED,2021-08,51
Client/Save/MWSC-LED,2021-08,115
Client/Estimate/MWSC-LED,2021-08,89
WebApi/Estimate/SECOFFERS_SOTPS,2021-08,38
Client/InitStateSetupMADMW1.2,2021-08,24
Client/SetVersionMessageMADMW1.2,2021-08,24
Client/Init/MADMW1.2,2021-08,10
WebApi/Refresh/MADMW1.2,2021-08,9
Client/GetOpportunityDataMADMW1.2,2021-08,4
Client/Refresh/MADMW1.2,2021-08,9
Client/RefreshVersionCommentsMADMW1.2,2021-08,9
WebApi/Init/MADMW1.2,2021-08,10
Client/Save/ECAS,2021-08,6
Client/PublishToCompassOneECAS,2021-08,5
Client/SetVersionMessageECAS,2021-08,11
Client/InitStateSetupECAS,2021-08,9
Client/Estimate/ECAS,2021-08,3
WebApi/Save/ECAS,2021-08,3
WebApi/Estimate/ECAS,2021-08,3
Client/SavingCONSMPTN,2021-08,106
WebApi/Lock/SECOFFERS_SOTPS,2021-08,22
WebApi/Init/SECOFFERS_SOTPS,2021-08,53
WebApi/AutoLock/ADH2.0,2021-08,6
WebApi/Save/MADMW1.2,2021-08,7
Client/Estimate/MADMW1.2,2021-08,6
Client/Save/MADMW1.2,2021-08,13
WebApi/Estimate/MADMW1.2,2021-08,7
Client/Unlock/ECAS,2021-08,1
Client/Lock/ECAS,2021-08,1
WebApi/Refresh/ECAS,2021-08,9
WebApi/UnLock/ECAS,2021-08,1
WebApi/Lock/ECAS,2021-08,1
Client/Refresh/ECAS,2021-08,5
Client/RefreshVersionCommentsECAS,2021-08,5
Client/Save/MADMW1.3,2021-08,89
WebApi/Estimate/MADMW1.3,2021-08,42
Client/Estimate/MADMW1.3,2021-08,41
WebApi/Save/MADMW1.3,2021-08,59
WebApi/Init/ECAS,2021-08,4
Client/GetOpportunityDataECAS,2021-08,4
Client/Init/ECAS,2021-08,4
WebApi/AutoLock/ECAS,2021-08,4
WebApi/AutoLock/MWSC-LED,2021-08,36
WebApi/Init/SECOFFERS_AWWVD,2021-08,27
WebApi/Estimate/SECOFFERS_AWWVD,2021-08,19
WebApi/Lock/SECOFFERS_AWWVD,2021-08,12
Client/RequestForEdit/CONSMPTN,2021-08,19
WebApi/RequestToEdit/CONSMPTN,2021-08,20
Client/ForceReleaseCheckOutCONSMPTN,2021-08,10
Client/Unlock/MADMW1.2,2021-08,2
WebApi/AutoLock/MADMW1.2,2021-08,2
Client/UpgradeVersionCONSMPTN,2021-08,11
Client/DownloadTemplateCONSMPTN,2021-08,20
WebApi/Lock/SECOFFERS_ZTS,2021-08,12
WebApi/Init/SECOFFERS_ZTS,2021-08,46
WebApi/Estimate/SECOFFERS_ZTS,2021-08,48
Client/UpgradeVersionCAD,2021-08,59
Client/DownloadTemplateCAD,2021-08,76
BudgetaryEstimate/Search,2021-08,169
WebApi/Estimate/ICC,2021-08,169
Client/SavingCAD,2021-08,153
Client/Lock/CAD,2021-08,92
WebApi/Lock/CAD,2021-08,92
WebApi/RequestToEdit/D365,2021-08,8
Client/RequestForEdit/D365,2021-08,8
Client/SavingMWSC-LED,2021-08,9
WebApi/Estimate/SECOFFERS_IdASCI,2021-08,32
Client/UnPublishFromCompassOneCAD,2021-08,46
WebApi/Lock/SECOFFERS_IdASCI,2021-08,10
WebApi/Init/SECOFFERS_IdASCI,2021-08,29
SearchEntity: d365search-index,2021-08,36
SearchEntity: consumption-search-index,2021-08,94
Client/Unlock/AzCF2009,2021-08,37
WebApi/UnLock/AzCF2009,2021-08,47
WebApi/Save/AzCF2009,2021-08,67
WebApi/Estimate/AzCF2009,2021-08,57
Client/SetVersionMessageAzCF2009,2021-08,203
Client/Save/AzCF2009,2021-08,123
Client/Estimate/AzCF2009,2021-08,53
Client/Lock/AzCF2009,2021-08,11
WebApi/Lock/AzCF2009,2021-08,11
Client/WriteOpportunityDetailsMADMW1.2,2021-08,4
Client/GetOpportunityDataAzCF2009,2021-08,47
WebApi/AutoLock/AzCF2009,2021-08,67
GetWorkloadSIAQuestionnaireData,2021-02,1913
WebApi/Init/CAD,2021-02,840
GetworkloadmetadatalistTime,2021-02,17866
Client/PublishToCompassOneCAD,2021-02,158
User Clicks,2021-02,93015
Client/Estimate/CAD,2021-02,979
Client/Save/CAD,2021-02,1411
WebApi/Estimate/CAD,2021-02,1053
WebApi/Refresh/CAD,2021-02,1077
Client/SetVersionMessageCAD,2021-02,2687
Client/InitStateSetupCAD,2021-02,2339
WebApi/Save/CAD,2021-02,973
AddAcrWorkstream,2021-02,32
SearchEntity: consumption-savedsearch-index,2021-02,86
WebApi/ListSavedQuery,2021-02,15265
WebApi/ExecuteSaveQuery,2021-02,154
SearchAction: undefined,2021-02,62
MSXNotFound,2021-02,631
Client/Refresh/D365,2021-02,879
Client/RefreshVersionCommentsD365,2021-02,878
Client/GetOpportunityDataD365,2021-02,439
Client/Init/AMO2012,2021-02,152
Client/SetVersionMessageAMO2012,2021-02,410
Client/InitStateSetupAMO2012,2021-02,383
Client/GetOpportunityDataAMO2012,2021-02,95
Client/Refresh/AMO2012,2021-02,151
Client/RefreshVersionCommentsAMO2012,2021-02,151
WebApi/Init/AMO2012,2021-02,157
WebApi/Refresh/D365,2021-02,1187
WebApi/AutoLock/AMO2012,2021-02,62
WebApi/Refresh/AMO2012,2021-02,230
WebApi/Save/AMO2012,2021-02,132
WebApi/Estimate/AMO2012,2021-02,131
Client/Save/AMO2012,2021-02,140
Client/Estimate/AMO2012,2021-02,114
Client/Save/CONSMPTN,2021-02,926
Client/InitStateSetupCONSMPTN,2021-02,3438
Client/SetVersionMessageCONSMPTN,2021-02,2375
WebApi/Save/CONSMPTN,2021-02,932
Client/SavingD365,2021-02,442
SearchEntity: zazurecloudairequirement-index,2021-02,79
WebApi/AutoLock/D365,2021-02,350
Client/InitStateSetupD365,2021-02,2902
Client/SetVersionMessageD365,2021-02,3301
Client/Init/D365,2021-02,931
Client/WriteOpportunityDetailsAMO2012,2021-02,12
WebApi/Init/D365,2021-02,1068
WebApi/UnLock/D365,2021-02,302
WebApi/UnLock/AMO2012,2021-02,57
Client/WriteOpportunityDetailsCAD,2021-02,75
Client/Init/CAD,2021-02,784
WebApi/AutoLock/CAD,2021-02,359
Client/Refresh/CAD,2021-02,803
Client/RefreshVersionCommentsCAD,2021-02,803
Client/PublishToCompassOneAMO2012,2021-02,62
Client/WriteOpportunityDetailsAzCF2009,2021-02,30
Client/InitStateSetupAzCF2009,2021-02,427
Client/SetVersionMessageAzCF2009,2021-02,445
Client/Init/AzCF2009,2021-02,172
WebApi/AutoLock/AzCF2009,2021-02,110
WebApi/Refresh/AzCF2009,2021-02,265
WebApi/Init/AzCF2009,2021-02,224
Client/Refresh/AzCF2009,2021-02,147
Client/RefreshVersionCommentsAzCF2009,2021-02,146
Client/Save/D365,2021-02,2130
Client/WriteOpportunityDetailsD365,2021-02,139
SearchEntity: opportunity-search,2021-02,1205
WebApi/Init/CONSMPTN,2021-02,1567
Client/Init/CS,2021-02,1532
WebApi/AutoLock/CONSMPTN,2021-02,620
Client/RefreshVersionCommentsCONSMPTN,2021-02,1125
Client/GetOpportunityDataCS,2021-02,715
Client/Refresh/CS,2021-02,996
Client/Estimate/D365,2021-02,1416
WebApi/Refresh/CONSMPTN,2021-02,1711
Client/Unlock/AMO2012,2021-02,53
WebApi/Save/D365,2021-02,1269
WebApi/Estimate/D365,2021-02,1506
WebApi/RequestToEdit/CAD,2021-02,23
Client/RequestForEdit/CAD,2021-02,23
Client/SavingCONSMPTN,2021-02,655
WebApi/Init/WPM1.1,2021-02,48
Client/WriteOpportunityDetailsWPM1.1,2021-02,4
Client/Init/WPM1.1,2021-02,39
Client/SetVersionMessageWPM1.1,2021-02,30
Client/InitStateSetupWPM1.1,2021-02,51
WebApi/Init/MADMW1.2,2021-02,334
Client/UnPublishFromCompassOneAzCF2009,2021-02,15
WebApi/Refresh/CLOUDMO6.2,2021-02,131
WebApi/AutoLock/MADMW1.2,2021-02,192
Client/PublishToCompassOneCLOUDMO6.2,2021-02,38
WebApi/Refresh/MADMW1.2,2021-02,428
Client/Refresh/MADMW1.2,2021-02,266
Client/GetOpportunityDataMADMW1.2,2021-02,152
Client/RefreshVersionCommentsMADMW1.2,2021-02,266
Client/InitStateSetupMADMW1.2,2021-02,754
Client/SetVersionMessageMADMW1.2,2021-02,794
Client/Init/MADMW1.2,2021-02,314
Client/Save/AzCF2009,2021-02,179
WebApi/Estimate/AzCF2009,2021-02,129
Client/Estimate/AzCF2009,2021-02,115
WebApi/UnLock/MADMW1.2,2021-02,158
Client/Refresh/CONSMPTN,2021-02,187
WebApi/Estimate/ICC,2021-02,158
Client/ForceReleaseCheckOutCAD,2021-02,25
WebApi/Lock/CAD,2021-02,64
Client/Lock/CAD,2021-02,65
WebApi/UnLock/AzCF2009,2021-02,70
Client/Unlock/AzCF2009,2021-02,52
Client/GetOpportunityDataCAD,2021-02,437
Client/SetVersionMessageCLOUDMO6.2,2021-02,223
Client/Estimate/CLOUDMO6.2,2021-02,66
Client/Save/CLOUDMO6.2,2021-02,70
Client/InitStateSetupCLOUDMO6.2,2021-02,184
WebApi/Estimate/CLOUDMO6.2,2021-02,68
WebApi/Save/CLOUDMO6.2,2021-02,70
WebApi/Save/AzCF2009,2021-02,136
WebApi/Save/WPM1.2,2021-02,359
Client/SetVersionMessageWPM1.2,2021-02,1131
Client/Estimate/WPM1.2,2021-02,269
BudgetaryEstimate/Search,2021-02,260
Client/Save/WPM1.2,2021-02,533
Client/InitStateSetupWPM1.2,2021-02,1128
Client/Refresh/WPM1.2,2021-02,419
Client/GetOpportunityDataWPM1.2,2021-02,246
Client/RefreshVersionCommentsWPM1.2,2021-02,419
Client/PublishToCompassOneWPM1.2,2021-02,141
Client/UnPublishFromCompassOneWPM1.2,2021-02,21
WebApi/UnLock/WPM1.2,2021-02,222
Client/DownloadTemplateWPM1.2,2021-02,13
Client/Unlock/CONSMPTN,2021-02,460
WebApi/UnLock/CONSMPTN,2021-02,582
WebApi/GetOpportunityWorkloadDashboardData,2021-02,3439
Client/DownloadTemplateCONSMPTN,2021-02,89
Client/UpgradeVersionCONSMPTN,2021-02,58
WebApi/UnLock/CAD,2021-02,329
Client/Unlock/WPM1.2,2021-02,145
Client/Init/WPM1.2,2021-02,461
WebApi/Init/WPM1.2,2021-02,521
WebApi/AutoLock/WPM1.2,2021-02,280
WebApi/Refresh/WPM1.2,2021-02,652
Client/GetOpportunityDataAzCF2009,2021-02,81
WebApi/Refresh/WPM1.1,2021-02,40
Client/SavingAzCF2009,2021-02,74
Client/Unlock/CAD,2021-02,215
Client/Unlock/D365,2021-02,232
WebApi/Estimate/O365,2021-02,130
Client/Lock/D365,2021-02,72
WebApi/Lock/D365,2021-02,71
Client/PublishToCompassOneAzCF2009,2021-02,69
Client/Unlock/MADMW1.2,2021-02,91
Client/PublishToCompassOneCONSMPTN,2021-02,438
Client/SavingWPM1.2,2021-02,165
Client/Init/CLOUDMO6.2,2021-02,75
WebApi/AutoLock/CLOUDMO6.2,2021-02,44
WebApi/Init/CLOUDMO6.2,2021-02,92
Client/RefreshVersionCommentsCLOUDMO6.2,2021-02,75
Client/GetOpportunityDataCLOUDMO6.2,2021-02,47
Client/Refresh/CLOUDMO6.2,2021-02,75
Client/Lock/CONSMPTN,2021-02,133
WebApi/Estimate/WPM1.2,2021-02,345
WebApi/Lock/CONSMPTN,2021-02,132
Client/Refresh/WPM1.1,2021-02,25
Client/RefreshVersionCommentsWPM1.1,2021-02,25
Client/GetOpportunityDataWPM1.1,2021-02,15
Click,2021-02,577
Client/SavingCAD,2021-02,179
Client/PublishToCompassOneMADMW1.2,2021-02,99
Client/DownloadTemplateCAD,2021-02,25
Client/PublishToCompassOneD365,2021-02,105
Client/Lock/AMO2012,2021-02,13
WebApi/Lock/AMO2012,2021-02,13
WebApi/Save/ECAS,2021-02,3
Client/PublishToCompassOneECAS,2021-02,3
Client/SetVersionMessageECAS,2021-02,9
Client/InitStateSetupECAS,2021-02,8
Client/Save/ECAS,2021-02,3
Client/Estimate/ECAS,2021-02,3
WebApi/Refresh/ECAS,2021-02,6
WebApi/Estimate/ECAS,2021-02,3
Client/RefreshVersionCommentsECAS,2021-02,4
Client/GetOpportunityDataECAS,2021-02,3
Client/Refresh/ECAS,2021-02,4
Client/Init/ECAS,2021-02,4
WebApi/Init/ECAS,2021-02,4
WebApi/AutoLock/ECAS,2021-02,3
Client/UnPublishFromCompassOneCAD,2021-02,26
CONSMPTN-UserActions,2021-02,173
Client/WriteOpportunityDetailsWPM1.2,2021-02,39
WebApi/Save/AADIS,2021-02,8
WebApi/Refresh/AADIS,2021-02,16
WebApi/Estimate/AADIS,2021-02,6
WebApi/UnLock/AADIS,2021-02,4
Client/InitStateSetupAADIS,2021-02,24
Client/Unlock/AADIS,2021-02,3
Client/SetVersionMessageAADIS,2021-02,21
Client/Lock/AADIS,2021-02,1
Client/RefreshVersionCommentsAADIS,2021-02,11
Client/Refresh/AADIS,2021-02,11
Client/Estimate/AADIS,2021-02,5
Client/Save/AADIS,2021-02,8
Client/PublishToCompassOneAADIS,2021-02,3
WebApi/Lock/AADIS,2021-02,1
Client/WriteOpportunityDetailsCLOUDMO,2021-02,3
Client/SetVersionMessageCLOUDMO,2021-02,5
Client/InitStateSetupCLOUDMO,2021-02,6
Client/Init/CLOUDMO,2021-02,4
WebApi/Init/CLOUDMO,2021-02,4
Client/GetOpportunityDataAADIS,2021-02,8
Client/Init/AADIS,2021-02,12
WebApi/AutoLock/AADIS,2021-02,3
WebApi/Init/AADIS,2021-02,12
WebApi/Estimate/MADMW1.2,2021-02,226
WebApi/Save/MADMW1.2,2021-02,269
Client/Save/MADMW1.2,2021-02,385
Client/Estimate/MADMW1.2,2021-02,195
WebApi/UnLock/CLOUDMO,2021-02,2
WebApi/AutoLock/CLOUDMO,2021-02,1
Client/Unlock/CLOUDMO,2021-02,1
SearchEntity: consumption-search-index,2021-02,60
Client/UnPublishFromCompassOneD365,2021-02,13
User Clicked on Do Not Have MsxId,2021-02,50
WebApi/Refresh/WPM,2021-02,6
WebApi/Init/WPM,2021-02,8
WebApi/Estimate/DSEMW,2021-02,35
Client/InitStateSetupWPM,2021-02,9
Client/SetVersionMessageWPM,2021-02,7
Client/Init/WPM,2021-02,8
Client/Refresh/CLOUDMO,2021-02,1
Client/RefreshVersionCommentsCLOUDMO,2021-02,1
WebApi/Refresh/CLOUDMO,2021-02,1
Client/WriteOpportunityDetailsCS,2021-02,43
Client/DownloadTemplateAMO2012,2021-02,4
Client/UnPublishFromCompassOneCONSMPTN,2021-02,45
WebApi/Estimate/AMO,2021-02,26
WebApi/Refresh/AMO,2021-02,56
Client/SetVersionMessageAMO,2021-02,85
Client/InitStateSetupAMO,2021-02,89
Client/Save/AMO,2021-02,25
Client/Estimate/AMO,2021-02,25
WebApi/Save/AMO,2021-02,26
Client/PublishToCompassOneAMO,2021-02,12
WebApi/UnLock/AMO,2021-02,12
Client/RefreshVersionCommentsAMO,2021-02,40
Client/GetOpportunityDataAMO,2021-02,21
Client/Refresh/AMO,2021-02,40
Client/Init/AMO,2021-02,39
WebApi/AutoLock/AMO,2021-02,17
WebApi/Init/AMO,2021-02,48
Client/RequestForEdit/AMO2012,2021-02,2
WebApi/RequestToEdit/AMO2012,2021-02,2
Client/Lock/MADMW1.2,2021-02,16
WebApi/Lock/MADMW1.2,2021-02,16
Client/Lock/WPM1.2,2021-02,27
Client/Unlock/CLOUDMO6.2,2021-02,15
WebApi/Lock/WPM1.2,2021-02,28
Client/RequestForEdit/CONSMPTN,2021-02,32
WebApi/RequestToEdit/CONSMPTN,2021-02,32
WebApi/UnLock/CLOUDMO6.2,2021-02,20
Client/SavingMADMW1.2,2021-02,124
Client/Lock/AzCF2009,2021-02,17
WebApi/Lock/AzCF2009,2021-02,17
WebApi/Save/MIMIS,2021-02,5
WebApi/Estimate/MIMIS,2021-02,5
WebApi/UnLock/MIMIS,2021-02,6
Client/SetVersionMessageMIMIS,2021-02,21
Client/InitStateSetupMIMIS,2021-02,20
Client/Save/MIMIS,2021-02,5
Client/Estimate/MIMIS,2021-02,5
Client/ForceReleaseCheckOutCONSMPTN,2021-02,32
WebApi/UnLock/CCoE,2021-02,20
Client/InitStateSetupCCoE,2021-02,140
Client/Unlock/CCoE,2021-02,15
Client/SavingCLOUDMO6.2,2021-02,24
WebApi/AutoLock/MIMIS,2021-02,6
WebApi/Init/MIMIS,2021-02,8
Client/Init/MIMIS,2021-02,7
Client/WriteOpportunityDetailsMIMIS,2021-02,4
Client/Unlock/MIMIS,2021-02,4
Client/Lock/MIMIS,2021-02,2
Client/RefreshVersionCommentsMIMIS,2021-02,6
Client/Refresh/MIMIS,2021-02,6
WebApi/Lock/MIMIS,2021-02,2
WebApi/Refresh/MIMIS,2021-02,6
WebApi/AutoLock/CCoE,2021-02,28
WebApi/Refresh/CCoE,2021-02,89
WebApi/Init/CCoE,2021-02,70
Client/RefreshVersionCommentsCCoE,2021-02,49
Client/GetOpportunityDataCCoE,2021-02,34
Client/Refresh/CCoE,2021-02,49
Client/SetVersionMessageCCoE,2021-02,145
Client/Init/CCoE,2021-02,66
Client/Lock/CLOUDMO6.2,2021-02,4
WebApi/Lock/CLOUDMO6.2,2021-02,4
Client/GetOpportunityDataMIMIS,2021-02,3
WebApi/RequestToEdit/WPM1.2,2021-02,10
Client/RequestForEdit/WPM1.2,2021-02,10
Client/WriteOpportunityDetailsMADMW1.2,2021-02,21
SearchEntity: smc-search-index,2021-02,19
Client/RequestForEdit/AzCF2009,2021-02,3
WebApi/RequestToEdit/AzCF2009,2021-02,4
Client/ForceReleaseCheckOutAzCF2009,2021-02,2
Client/ForceReleaseCheckOutD365,2021-02,16
WebApi/Estimate/SMCD365,2021-02,32
WebApi/RequestToEdit/D365,2021-02,11
Client/UpgradeVersionCAD,2021-02,20
Client/RequestForEdit/D365,2021-02,11
Client/Save/CCoE,2021-02,89
Client/Estimate/CCoE,2021-02,36
WebApi/Save/CCoE,2021-02,73
WebApi/Estimate/CCoE,2021-02,37
Client/PublishToCompassOneCCoE,2021-02,36
WebApi/Refresh/ASQL,2021-02,5
Client/RefreshVersionCommentsASQL,2021-02,4
Client/Init/ASQL,2021-02,4
Client/InitStateSetupASQL,2021-02,9
Client/Refresh/ASQL,2021-02,4
WebApi/Init/ASQL,2021-02,4
WebApi/Init/ASAP,2021-02,5
Client/RefreshVersionCommentsASAP,2021-02,7
Client/GetOpportunityDataASAP,2021-02,4
Client/Refresh/ASAP,2021-02,7
Client/InitStateSetupASAP,2021-02,37
Client/SetVersionMessageASAP,2021-02,54
Client/Init/ASAP,2021-02,5
WebApi/AutoLock/ASAP,2021-02,5
WebApi/Refresh/ASAP,2021-02,11
Client/WriteOpportunityDetailsCLOUDMO6.2,2021-02,5
WebApi/Init/AWC2003,2021-02,11
Client/Refresh/AWC2003,2021-02,8
Client/RefreshVersionCommentsAWC2003,2021-02,8
Client/GetOpportunityDataAWC2003,2021-02,6
Client/InitStateSetupAWC2003,2021-02,24
Client/SetVersionMessageAWC2003,2021-02,27
Client/Init/AWC2003,2021-02,11
WebApi/Refresh/AWC2003,2021-02,16
Client/Unlock/AMO,2021-02,6
WebApi/Save/ASF,2021-02,4
WebApi/Estimate/ASF,2021-02,4
Client/Estimate/ASF,2021-02,4
Client/SetVersionMessageASF,2021-02,12
Client/Save/ASF,2021-02,4
Client/InitStateSetupASF,2021-02,15
WebApi/AutoLock/ASF,2021-02,3
